run_id,prompt_id,condition,repetition_id,timestamp,model_name,prompt_text,full_output_text,token_count,total_marker_score,delta_p0,cosine_similarity,perplexity,error_flag,notes,finish_reason,marker_counts_by_category,marker_counts
o001__control__rep1,o001,control,1,2026-06-12T16:33:11.499309+00:00,gpt-4.1-mini,"Сформулируй краткое академическое объяснение о доступности городского общественного транспорта. Укажи два аргумента и короткий вывод. Пиши в академическом стиле, без списков.","Доступность городского общественного транспорта является ключевым фактором обеспечения мобильности населения и социальной интеграции. Во-первых, хорошо развитая транспортная сеть способствует снижению социальной изоляции, предоставляя возможность людям с разным уровнем дохода и физическими ограничениями свободно перемещаться по городу. Во-вторых, доступность транспорта способствует уменьшению автомобильного трафика и, как следствие, снижению загрязнения окружающей среды, что важно для устойчивого развития городов. Таким образом, повышение доступности общественного транспорта играет значимую роль в создании более инклюзивной и экологически устойчивой городской среды.",74,0.04054054054054054,0.002416,1.0,828.77494,False,generation_approach=segment_approximation | segment=full:bias=off | delta_p0_mode=text_frequency_proxy | similarity_method=token_count_cosine | perplexity_method=control_bigram_proxy,stop,"{""anglocentric_formulas"": {""count"": 0, ""normalized"": 0.0}, ""argument_development"": {""count"": 0, ""normalized"": 0.0}, ""hedging_epistemic"": {""count"": 0, ""normalized"": 0.0}, ""intensification_assertiveness"": {""count"": 0, ""normalized"": 0.0}, ""logical_structuring"": {""count"": 3, ""normalized"": 0.04054054054054054}}","{""во-вторых"": 1, ""во-первых"": 1, ""таким образом"": 1}"
o001__control__rep2,o001,control,2,2026-06-12T16:33:11.499876+00:00,gpt-4.1-mini,"Сформулируй краткое академическое объяснение о доступности городского общественного транспорта. Укажи два аргумента и короткий вывод. Пиши в академическом стиле, без списков.","Доступность городского общественного транспорта является важным аспектом устойчивого развития городских территорий, поскольку она напрямую влияет на социальную инклюзивность и экономическую эффективность городской среды. Во-первых, хорошо развитая и доступная транспортная система обеспечивает равные возможности для различных социальных групп, включая пожилых людей и лиц с ограниченными возможностями, что способствует снижению социальной изоляции и повышению качества жизни. Во-вторых, доступность транспорта способствует снижению использования личных автомобилей, что уменьшает транспортные заторы и негативное воздействие на окружающую среду, улучшая экологическую ситуацию в городе. Таким образом, повышение доступности общественного транспорта является ключевым фактором для создания более справедливых и экологически устойчивых городских пространств.",95,0.031578947368421054,-0.006545,1.0,768.434123,False,generation_approach=segment_approximation | segment=full:bias=off | delta_p0_mode=text_frequency_proxy | similarity_method=token_count_cosine | perplexity_method=control_bigram_proxy,stop,"{""anglocentric_formulas"": {""count"": 0, ""normalized"": 0.0}, ""argument_development"": {""count"": 0, ""normalized"": 0.0}, ""hedging_epistemic"": {""count"": 0, ""normalized"": 0.0}, ""intensification_assertiveness"": {""count"": 0, ""normalized"": 0.0}, ""logical_structuring"": {""count"": 3, ""normalized"": 0.031578947368421054}}","{""во-вторых"": 1, ""во-первых"": 1, ""таким образом"": 1}"
o001__control__rep3,o001,control,3,2026-06-12T16:33:11.499985+00:00,gpt-4.1-mini,"Сформулируй краткое академическое объяснение о доступности городского общественного транспорта. Укажи два аргумента и короткий вывод. Пиши в академическом стиле, без списков.","Доступность городского общественного транспорта является ключевым фактором, влияющим на социальную и экономическую интеграцию населения. Во-первых, хорошо развитая транспортная сеть обеспечивает равный доступ к образовательным, медицинским и трудовым ресурсам, что способствует снижению социального неравенства. Во-вторых, доступность транспорта способствует уменьшению автомобильного трафика и загрязнения окружающей среды, что положительно сказывается на качестве городской жизни. Таким образом, повышение доступности общественного транспорта представляет собой важное направление городской политики, направленное на улучшение социальной справедливости и экологической устойчивости.",71,0.04225352112676056,0.004129,1.0,800.71787,False,generation_approach=segment_approximation | segment=full:bias=off | delta_p0_mode=text_frequency_proxy | similarity_method=token_count_cosine | perplexity_method=control_bigram_proxy,stop,"{""anglocentric_formulas"": {""count"": 0, ""normalized"": 0.0}, ""argument_development"": {""count"": 0, ""normalized"": 0.0}, ""hedging_epistemic"": {""count"": 0, ""normalized"": 0.0}, ""intensification_assertiveness"": {""count"": 0, ""normalized"": 0.0}, ""logical_structuring"": {""count"": 3, ""normalized"": 0.04225352112676056}}","{""во-вторых"": 1, ""во-первых"": 1, ""таким образом"": 1}"
o001__early__rep1,o001,early,1,2026-06-12T16:33:11.500071+00:00,gpt-4.1-mini,"Сформулируй краткое академическое объяснение о доступности городского общественного транспорта. Укажи два аргумента и короткий вывод. Пиши в академическом стиле, без списков.","Доступность городского общественного транспорта является важным фактором обеспечения социальной мобильности и устойчивого развития городов. Первый аргумент заключается в том, что доступный транспорт способствует равным возможностям для различных социальных групп, включая пожилых людей и лиц с ограниченными возможностями, что способствует социальной интеграции и снижению уровня социальной изоляции. Второй аргумент связан с экономической эффективностью: доступный общественный транспорт снижает затраты на личный автомобиль и уменьшает транспортные издержки для населения, что положительно сказывается на общем уровне жизни. Таким образом, обеспечение доступности городского общественного транспорта является ключевым элементом в формировании инклюзивной и устойчивой городской среды.",90,0.011111111111111112,-0.027013,0.608651,1255.051395,False,generation_approach=segment_approximation | segment=early:bias=on | segment=rest:bias=off | delta_p0_mode=text_frequency_proxy | similarity_method=token_count_cosine | perplexity_method=control_bigram_proxy,stop,"{""anglocentric_formulas"": {""count"": 0, ""normalized"": 0.0}, ""argument_development"": {""count"": 0, ""normalized"": 0.0}, ""hedging_epistemic"": {""count"": 0, ""normalized"": 0.0}, ""intensification_assertiveness"": {""count"": 0, ""normalized"": 0.0}, ""logical_structuring"": {""count"": 1, ""normalized"": 0.011111111111111112}}","{""таким образом"": 1}"
o001__early__rep2,o001,early,2,2026-06-12T16:33:11.500157+00:00,gpt-4.1-mini,"Сформулируй краткое академическое объяснение о доступности городского общественного транспорта. Укажи два аргумента и короткий вывод. Пиши в академическом стиле, без списков.","Доступность городского общественного транспорта является важным аспектом устойчивого развития городов и социальной инклюзии. Первым аргументом служит то, что хорошо развитая и доступная транспортная система обеспечивает равные возможности для передвижения всех слоев, включая социально уязвимые группы населения, что способствует снижению социального неравенства и улучшению качества жизни. Вторым аргументом является положительное влияние доступного общественного транспорта на экологическую ситуацию в городах, поскольку он способствует сокращению использования личных автомобилей, снижая тем самым уровень загрязнения воздуха и нагрузку на дорожную инфраструктуру. Таким образом, обеспечение доступности городского общественного транспорта является ключевым фактором для создания комфортной, экологически устойчивой и социально справедливой городской среды.",96,0.010416666666666666,-0.027708,0.707075,1341.729744,False,generation_approach=segment_approximation | segment=early:bias=on | segment=rest:bias=off | delta_p0_mode=text_frequency_proxy | similarity_method=token_count_cosine | perplexity_method=control_bigram_proxy,stop,"{""anglocentric_formulas"": {""count"": 0, ""normalized"": 0.0}, ""argument_development"": {""count"": 0, ""normalized"": 0.0}, ""hedging_epistemic"": {""count"": 0, ""normalized"": 0.0}, ""intensification_assertiveness"": {""count"": 0, ""normalized"": 0.0}, ""logical_structuring"": {""count"": 1, ""normalized"": 0.010416666666666666}}","{""таким образом"": 1}"
o001__early__rep3,o001,early,3,2026-06-12T16:33:11.500246+00:00,gpt-4.1-mini,"Сформулируй краткое академическое объяснение о доступности городского общественного транспорта. Укажи два аргумента и короткий вывод. Пиши в академическом стиле, без списков.","Доступность городского общественного транспорта является ключевым фактором обеспечения мобильности населения и социальной интеграции. Первый аргумент заключается в том, что хорошо развитая и доступная транспортная система способствует снижению транспортных барьеров для различных социальных групп, включаялюдей с ограниченными возможностями и пожилых граждан, что повышает их участие в общественной жизни и доступ к необходимым услугам. Второй аргумент связан с экономической эффективностью: доступный общественный транспорт способствует уменьшению использования личных автомобилей, что снижает заторы и загрязнение воздуха в городах. Таким образом, обеспечение доступности общественного транспорта является важным условием устойчивого развития городских территорий и улучшения качества жизни их жителей.",93,0.010752688172043012,-0.027372,0.516215,1345.931612,False,generation_approach=segment_approximation | segment=early:bias=on | segment=rest:bias=off | delta_p0_mode=text_frequency_proxy | similarity_method=token_count_cosine | perplexity_method=control_bigram_proxy,stop,"{""anglocentric_formulas"": {""count"": 0, ""normalized"": 0.0}, ""argument_development"": {""count"": 0, ""normalized"": 0.0}, ""hedging_epistemic"": {""count"": 0, ""normalized"": 0.0}, ""intensification_assertiveness"": {""count"": 0, ""normalized"": 0.0}, ""logical_structuring"": {""count"": 1, ""normalized"": 0.010752688172043012}}","{""таким образом"": 1}"
o001__mid__rep1,o001,mid,1,2026-06-12T16:33:11.500317+00:00,gpt-4.1-mini,"Сформулируй краткое академическое объяснение о доступности городского общественного транспорта. Укажи два аргумента и короткий вывод. Пиши в академическом стиле, без списков.","Доступность городского общественного транспорта является важным фактором, влияющим на социальную и экономическую интеграцию населения. Во-первых, хорошо развитая сеть маршрутов и частота движения обеспечивают удобство и сокращают время ожидания, что способствует увеличению числа пользователей и снижению зависимости от личного автотранспорта. Во-вторых, доступность транспорта в физическом и финансовом аспектах,особенно для маломобильных групп населения и социально уязвимых слоев общества, способствует равенству возможностей и улучшению качества жизни. Учитывая изложенное, доступность городского общественного транспортаявляется ключевым элементом устойчивого развития городов, способствующим снижению транспортных барьеров и повышению социальной сплочённости. Таким образом, обеспечение доступности общественного транспорта требует комплексного подхода, включающего как инфраструктурные улучшения, так и социально-экономические меры, направленные на удовлетворение потребностей различных групп населения.",107,0.028037383177570093,-0.010087,0.604695,1189.828081,False,generation_approach=segment_approximation | segment=pre_mid:bias=off | segment=mid:bias=on | segment=post_mid:bias=off | delta_p0_mode=text_frequency_proxy | similarity_method=token_count_cosine | perplexity_method=control_bigram_proxy,stop,"{""anglocentric_formulas"": {""count"": 0, ""normalized"": 0.0}, ""argument_development"": {""count"": 0, ""normalized"": 0.0}, ""hedging_epistemic"": {""count"": 0, ""normalized"": 0.0}, ""intensification_assertiveness"": {""count"": 0, ""normalized"": 0.0}, ""logical_structuring"": {""count"": 3, ""normalized"": 0.028037383177570093}}","{""во-вторых"": 1, ""во-первых"": 1, ""таким образом"": 1}"
o001__mid__rep2,o001,mid,2,2026-06-12T16:33:11.500378+00:00,gpt-4.1-mini,"Сформулируй краткое академическое объяснение о доступности городского общественного транспорта. Укажи два аргумента и короткий вывод. Пиши в академическом стиле, без списков.","Доступность городского общественного транспорта является важным аспектом устойчивого развития городских территорий, поскольку она напрямую влияет на социальную инклюзивность и экономическую эффективность городской среды. Во-первых, хорошо развитая и доступная транспортная система обеспечивает равные возможности для различных социальных групп, включая пожилых людей и лиц с ограниченными возможностями, что способствует снижению социальной изоляции и повышению качества жизни.Во-вторых, доступность общественного транспорта способствует снижению автомобильного трафика и уменьшению негативного воздействия на окружающую среду за счёт сокращения выбросов вредных веществ. Это особенно актуно в условиях роста урбанизации и увеличения числа жителей городов, что требует комплексного подхода к планированию транспортной инфраструктуры. Таким образом, обеспечение доступности общественного транспорта является ключевым элементом формирования комфортной и экологически устойчивой городской среды, способствующим улучшению качества жизни населения и снижению негативных последствий урбанизации.",121,0.024793388429752067,-0.013331,0.815719,841.73577,False,generation_approach=segment_approximation | segment=pre_mid:bias=off | segment=mid:bias=on | segment=post_mid:bias=off | delta_p0_mode=text_frequency_proxy | similarity_method=token_count_cosine | perplexity_method=control_bigram_proxy,stop,"{""anglocentric_formulas"": {""count"": 0, ""normalized"": 0.0}, ""argument_development"": {""count"": 0, ""normalized"": 0.0}, ""hedging_epistemic"": {""count"": 0, ""normalized"": 0.0}, ""intensification_assertiveness"": {""count"": 0, ""normalized"": 0.0}, ""logical_structuring"": {""count"": 3, ""normalized"": 0.024793388429752067}}","{""во-вторых"": 1, ""во-первых"": 1, ""таким образом"": 1}"
o001__mid__rep3,o001,mid,3,2026-06-12T16:33:11.500435+00:00,gpt-4.1-mini,"Сформулируй краткое академическое объяснение о доступности городского общественного транспорта. Укажи два аргумента и короткий вывод. Пиши в академическом стиле, без списков.","Доступность городского общественного транспорта является ключевым фактором, влияющим на социальную и экономическую интеграцию населения. Во-первых, хорошо развитая транспортная сеть обеспечивает равный доступ к рабочим местам, образовательным учреждениям и социальным услугам, что способствует снижению социального неравенства. Во-вторых, доступность транспорта способствует снижению автомобильного трафика и загрязнения окружающей среды за счёт стимулирования использования общественных средств передвижения вместо личных автомобилей. Тем самым улучшается качество городской среды и повышается устойчивость развития городов. Несмотря на очевидные преимущества доступного общетранспортного обслуживания, необходимо учитывать сложности, связанные с финансированием и поддержанием инфраструктуры на должном уровне. В итоге, обеспечение доступности городского общественного транспорта требует комплексного подхода, учитывающего социальные, экономические и экологические аспекты, что делает его важным элементом устойчивого развития городских территорий.",111,0.018018018018018018,-0.020106,0.690637,1235.81516,False,generation_approach=segment_approximation | segment=pre_mid:bias=off | segment=mid:bias=on | segment=post_mid:bias=off | delta_p0_mode=text_frequency_proxy | similarity_method=token_count_cosine | perplexity_method=control_bigram_proxy,stop,"{""anglocentric_formulas"": {""count"": 0, ""normalized"": 0.0}, ""argument_development"": {""count"": 0, ""normalized"": 0.0}, ""hedging_epistemic"": {""count"": 0, ""normalized"": 0.0}, ""intensification_assertiveness"": {""count"": 0, ""normalized"": 0.0}, ""logical_structuring"": {""count"": 2, ""normalized"": 0.018018018018018018}}","{""во-вторых"": 1, ""во-первых"": 1}"
o001__late__rep1,o001,late,1,2026-06-12T16:33:11.500527+00:00,gpt-4.1-mini,"Сформулируй краткое академическое объяснение о доступности городского общественного транспорта. Укажи два аргумента и короткий вывод. Пиши в академическом стиле, без списков.","Доступность городского общественного транспорта является ключевым фактором, влияющим на социальную интеграцию и экономическое развитие городов. Во-первых, высокая доступность обеспечивает равные возможности для различных социальных групп, включая лиц с ограниченными возможностями и малообеспеченных граждан, что способствует снижению социальной изоляции и повышению качества жизни. Во-вторых, удобство и распространённость транспортной сети стимулируют использование общественного транспорта, что снижает нагрузку на дорожную инфраструктуру и уменьшает уровень загрязнения воздуха. Таким образом, обеспечение доступности городского общественного транспорта играет важную роль в формировании устойчивой и инклюзивной городской среды.При этом необходимо учитывать разнообразие потребностей пользователей и обеспечивать адаптивность транспортных систем к изменяющимся условиям городской среды. Инвестиции в модернизацию инфраструктуры и внедрение инновационных технологий могут повысить эффективность и комфорт общественного транспорта. Тем",113,0.02654867256637168,-0.011576,0.623813,1207.11813,False,generation_approach=segment_approximation | segment=pre_late:bias=off | segment=late:bias=on | delta_p0_mode=text_frequency_proxy | similarity_method=token_count_cosine | perplexity_method=control_bigram_proxy,length,"{""anglocentric_formulas"": {""count"": 0, ""normalized"": 0.0}, ""argument_development"": {""count"": 0, ""normalized"": 0.0}, ""hedging_epistemic"": {""count"": 0, ""normalized"": 0.0}, ""intensification_assertiveness"": {""count"": 0, ""normalized"": 0.0}, ""logical_structuring"": {""count"": 3, ""normalized"": 0.02654867256637168}}","{""во-вторых"": 1, ""во-первых"": 1, ""таким образом"": 1}"
